# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.35, 58.17, 270.00
PADL2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 7.37, 71.37, 70.00
PADL3, SMD, , SMD1.27-2.54, -smd1.27-2.54, 39.75, 58.17, 270.00
PADL4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.77, 71.37, 70.00
PADL5, SMD, , SMD1.27-2.54, -smd1.27-2.54, 65.15, 58.17, 270.00
PADL6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 58.17, 71.37, 70.00
PADL7, SMD, , SMD1.27-2.54, -smd1.27-2.54, 90.55, 58.17, 270.00
PADL8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 83.57, 71.37, 70.00
PADL9, SMD, , SMD1.27-2.54, -smd1.27-2.54, 85.32, 15.21, 90.00
PADL10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 92.30, 2.01, 250.00
PADL11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 59.92, 15.21, 90.00
PADL12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 66.90, 2.01, 250.00
PADL13, SMD, , SMD1.27-2.54, -smd1.27-2.54, 34.52, 15.21, 90.00
PADL14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 41.50, 2.01, 250.00
PADL15, SMD, , SMD1.27-2.54, -smd1.27-2.54, 9.12, 15.21, 90.00
PADL16, SMD, , SMD1.27-2.54, -smd1.27-2.54, 16.10, 2.01, 250.00
PADN1, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADN2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADN3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADN4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 61.60, 0.00
PADN5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADN6, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADN7, SMD, , SMD1.27-2.54, -smd1.27-2.54, 26.67, 61.60, 0.00
PADN8, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADN9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADN10, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADN11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 52.07, 61.60, 0.00
PADN12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADN13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADN14, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADN15, SMD, , SMD1.27-2.54, -smd1.27-2.54, 77.47, 61.60, 0.00
PADN16, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADN17, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADN18, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADN19, SMD, , SMD1.27-2.54, -smd1.27-2.54, 98.40, 11.79, 180.00
PADN20, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADN21, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADN22, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADN23, SMD, , SMD1.27-2.54, -smd1.27-2.54, 73.00, 11.79, 180.00
PADN24, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADN25, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADN26, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADN27, SMD, , SMD1.27-2.54, -smd1.27-2.54, 47.60, 11.79, 180.00
PADN28, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADN29, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADN30, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADN31, SMD, , SMD1.27-2.54, -smd1.27-2.54, 22.20, 11.79, 180.00
PADN32, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADS1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 26.67, 67.95, 0.00
PADS2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 1.27, 67.95, 0.00
PADS3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADS4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADS5, SMD, , SMD1.27-2.54, -smd1.27-2.54, 52.07, 67.95, 0.00
PADS6, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADS7, SMD, , SMD1.27-2.54, -smd1.27-2.54, 77.47, 67.95, 0.00
PADS8, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADS9, SMD, , SMD1.27-2.54, -smd1.27-2.54, 98.40, 5.44, 180.00
PADS10, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADS11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 73.00, 5.44, 180.00
PADS12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADS13, SMD, , SMD1.27-2.54, -smd1.27-2.54, 47.60, 5.44, 180.00
PADS14, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADS15, SMD, , SMD1.27-2.54, -smd1.27-2.54, 22.20, 5.44, 180.00
PADS16, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
R1, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R2, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R3, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R4, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R5, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R6, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R7, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R8, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
