# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 5.82, 71.88, 160.00
PADL2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 18.26, 79.38, 0.00
PADL3, SMD, , SMD1.27-2.54, -smd1.27-2.54, 18.26, 33.66, 0.00
PADL4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 5.82, 26.16, 160.00
PADL5, SMD, , SMD1.27-2.54, -smd1.27-2.54, 42.14, 79.38, 0.00
PADL6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 29.69, 71.88, 160.00
PADL7, SMD, , SMD1.27-2.54, -smd1.27-2.54, 42.14, 33.66, 0.00
PADL8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 29.69, 26.16, 160.00
PADL9, SMD, , SMD1.27-2.54, -smd1.27-2.54, 66.01, 79.38, 0.00
PADL10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 53.57, 71.88, 160.00
PADL11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 66.01, 33.66, 0.00
PADL12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 53.57, 26.16, 160.00
PADL13, SMD, , SMD1.27-2.54, -smd1.27-2.54, 89.89, 79.38, 0.00
PADL14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 77.44, 71.88, 160.00
PADL15, SMD, , SMD1.27-2.54, -smd1.27-2.54, 89.89, 33.66, 0.00
PADL16, SMD, , SMD1.27-2.54, -smd1.27-2.54, 77.44, 26.16, 160.00
PADNA, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA1, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA6, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA8, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA10, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNA14, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNA15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 200.00
PADNF, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.86, 65.68, 90.00
PADNF1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.86, 19.96, 90.00
PADNF2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
