# name, smd?, value, package, component, x, y, angle
C1, SMD, 0.01uf, 0805, 0.01uf-0805, 80.77, 51.82, 0.00
C2, SMD, 0.01uf, 0805, 0.01uf-0805, 49.28, 29.46, 180.00
C3, SMD, 0.01uf, 0805, 0.01uf-0805, 60.96, 32.00, 0.00
C4, SMD, 0.01uf, 0805, 0.01uf-0805, 26.92, 18.29, 0.00
C5, SMD, 0.01uf, 0805, 0.01uf-0805, 3.56, 22.10, 90.00
C6, SMD, 0.01uf, 0805, 0.01uf-0805, 27.18, 28.45, 0.00
D1, SMD, 1N4448WT, SOT23-3, 1n4448wt-sot23-3, 80.70, 14.66, 270.00
D2, SMD, 1N4448WT, SOT23-3, 1n4448wt-sot23-3, 20.50, 29.26, 0.00
J1, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 270.00
J2, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 90.00
J3, PTH, 5520250-3, RJ11-NO_SHIELD, 5520250-3-rj11-no_shield, 0.00, 0.00, 90.00
J4, PTH, 5520426-4, RJ45-NO-SHIELD, 5520426-4-rj45-no-shield, 0.00, 0.00, 90.00
J5, PTH, 5520426-4, RJ45-NO-SHIELD, 5520426-4-rj45-no-shield, 0.00, 0.00, 90.00
J6, PTH, KK-156-5, KK-156-5, kk-156-5-kk-156-5, 0.00, 0.00, 180.00
J7, PTH, KK-156-5, KK-156-5, kk-156-5-kk-156-5, 0.00, 0.00, 180.00
J8, PTH, MSTB-02, MSTBV2, mstb-02-mstbv2, 0.00, 0.00, 90.00
JP1, PTH, LN-TERM, 1X02_LOCK, ln-term-1x02_lock, 0.00, 0.00, 90.00
JP2, PTH, ShieldGnd, 1X02_LOCK, shieldgnd-1x02_lock, 0.00, 0.00, 270.00
JP8, PTH, CANPWR, 1X02_LOCK, canpwr-1x02_lock, 0.00, 0.00, 180.00
JP9, PTH, NCEPWR, 1X02_LOCK, ncepwr-1x02_lock, 0.00, 0.00, 270.00
L1, SMD, ZJYS51R5-2P, ZJYS, zjys51r5-2p-zjys, 72.57, 28.38, 180.00
LED1, SMD, Blue, CHIP-LED0805, blue-chip-led0805, 28.19, 77.22, 270.00
LED2, SMD, Gold, CHIP-LED0805, gold-chip-led0805, 40.64, 77.22, 270.00
LED3, SMD, Green, CHIP-LED0805, green-chip-led0805, 54.61, 77.22, 270.00
