# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 16.76, 1.65, 250.00
PADL2, SMD, , SMD1.27-2.54, -smd1.27-2.54, 9.27, 14.86, 90.00
PADL3, SMD, , SMD1.27-2.54, -smd1.27-2.54, 14.61, 65.15, 270.00
PADL4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 7.11, 78.36, 70.00
PADL5, SMD, , SMD1.27-2.54, -smd1.27-2.54, 34.67, 14.86, 90.00
PADL6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 42.16, 1.65, 250.00
PADL7, SMD, , SMD1.27-2.54, -smd1.27-2.54, 40.01, 65.15, 270.00
PADL8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.51, 78.36, 70.00
PADL9, SMD, , SMD1.27-2.54, -smd1.27-2.54, 60.07, 14.86, 90.00
PADL10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 67.56, 1.65, 250.00
PADL11, SMD, , SMD1.27-2.54, -smd1.27-2.54, 65.41, 65.15, 270.00
PADL12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 57.91, 78.36, 70.00
PADL13, SMD, , SMD1.27-2.54, -smd1.27-2.54, 85.47, 14.86, 90.00
PADL14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 92.96, 1.65, 250.00
PADL15, SMD, , SMD1.27-2.54, -smd1.27-2.54, 90.81, 65.15, 270.00
PADL16, SMD, , SMD1.27-2.54, -smd1.27-2.54, 83.31, 78.36, 70.00
PADNA, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADNA1, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADNA2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNA3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADNA4, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNA5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADNA6, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADNA7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADNA8, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNA9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADNA10, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADNA11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADNA12, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNA13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 110.00
PADNA14, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 90.00
PADNA15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 290.00
PADNF, SMD, , SMD1.27-2.54, -smd1.27-2.54, 23.22, 11.46, 180.00
PADNF1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 0.66, 68.55, 0.00
PADNF2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADNF3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNF4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 48.62, 11.46, 180.00
PADNF5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADNF6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 26.06, 68.55, 0.00
PADNF7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNF8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 74.02, 11.46, 180.00
PADNF9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADNF10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 51.46, 68.55, 0.00
PADNF11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADNF12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 99.40, 11.46, 180.00
PADNF13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADNF14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 76.86, 68.55, 0.00
PADNF15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADSF, SMD, , SMD1.27-2.54, -smd1.27-2.54, 23.19, 5.31, 180.00
PADSF1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 0.69, 74.70, 0.00
PADSF2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADSF3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADSF4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 48.59, 5.31, 180.00
PADSF5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADSF6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 26.09, 74.70, 0.00
PADSF7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADSF8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 73.99, 5.31, 180.00
PADSF9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADSF10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 51.49, 74.70, 0.00
PADSF11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
PADSF12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 99.40, 5.31, 180.00
PADSF13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 180.00
PADSF14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 76.89, 74.70, 0.00
PADSF15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 0.00
R1, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R2, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R3, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R4, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R5, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R6, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
R7, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 270.00
R8, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 90.00
