# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, BOARD50X50, BOARD-SEEED5X5, board50x50-board-seeed5x5, 0.00, 0.00, 0.00
C1, PTH, 100uF, E3.5-10, 100uf-e3.5-10, 0.00, 0.00, 270.00
C2, PTH, 0.1uf, C050-024X044, 0.1uf-c050-024x044, 0.00, 0.00, 270.00
CON1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 270.00
DCC, PTH, , MSTB2, -mstb2, 0.00, 0.00, 90.00
DCCOD, PTH, , KK-156-5, -kk-156-5, 0.00, 0.00, 0.00
LED1, PTH, , LED5MM, -led5mm, 0.00, 0.00, 90.00
R1, PTH, 100k, AXIAL-0.4-RES, 100k-axial-0.4-res, 0.00, 0.00, 180.00
R2, PTH, 10k, AXIAL-0.4-RES, 10k-axial-0.4-res, 0.00, 0.00, 180.00
R3, PTH, 5k, AXIAL-0.4-RES, 5k-axial-0.4-res, 0.00, 0.00, 180.00
R4, PTH, 2k, AXIAL-0.4-RES, 2k-axial-0.4-res, 0.00, 0.00, 270.00
SW1, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
SW2, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
SW3, PTH, , B3F-10XX, -b3f-10xx, 0.00, 0.00, 270.00
TRACK, PTH, , MSTB2, -mstb2, 0.00, 0.00, 90.00
U$1, PTH, +12v, PWR_LABEL, +12v-pwr_label, 0.00, 0.00, 180.00
