# name, smd?, value, package, component, x, y, angle
C1X11, SMD, , 0603-CAP, -0603-cap, 22.23, 50.80, 90.00
C1X21, SMD, , 0603-CAP, -0603-cap, 42.55, 50.80, 90.00
C1X31, SMD, , 0603-CAP, -0603-cap, 62.87, 50.80, 90.00
C1X41, SMD, , 0603-CAP, -0603-cap, 83.19, 50.80, 90.00
C2X11, SMD, , 0603-CAP, -0603-cap, 19.05, 50.80, 90.00
C2X21, SMD, , 0603-CAP, -0603-cap, 39.37, 50.80, 90.00
C2X31, SMD, , 0603-CAP, -0603-cap, 59.69, 50.80, 90.00
C2X41, SMD, , 0603-CAP, -0603-cap, 80.01, 50.80, 90.00
C3X11, SMD, , 0603-CAP, -0603-cap, 15.88, 50.80, 90.00
C3X21, SMD, , 0603-CAP, -0603-cap, 36.20, 50.80, 90.00
C3X31, SMD, , 0603-CAP, -0603-cap, 56.52, 50.80, 90.00
C3X41, SMD, , 0603-CAP, -0603-cap, 76.84, 50.80, 90.00
C4X11, SMD, , 0603-CAP, -0603-cap, 12.70, 50.80, 90.00
C4X21, SMD, , 0603-CAP, -0603-cap, 33.02, 50.80, 90.00
C4X31, SMD, , 0603-CAP, -0603-cap, 53.34, 50.80, 90.00
C4X41, SMD, , 0603-CAP, -0603-cap, 73.66, 50.80, 90.00
D1X11, SMD, , SOT323R, -sot323r, 22.23, 46.99, 180.00
D1X21, SMD, , SOT323R, -sot323r, 42.55, 46.99, 180.00
D1X31, SMD, , SOT323R, -sot323r, 62.87, 46.99, 180.00
D1X41, SMD, , SOT323R, -sot323r, 83.19, 46.99, 180.00
D2X11, SMD, , SOT323R, -sot323r, 19.05, 46.99, 180.00
D2X21, SMD, , SOT323R, -sot323r, 39.37, 46.99, 180.00
D2X31, SMD, , SOT323R, -sot323r, 59.69, 46.99, 180.00
D2X41, SMD, , SOT323R, -sot323r, 80.01, 46.99, 180.00
D3X11, SMD, , SOT323R, -sot323r, 15.88, 46.99, 180.00
D3X21, SMD, , SOT323R, -sot323r, 36.20, 46.99, 180.00
D3X31, SMD, , SOT323R, -sot323r, 56.52, 46.99, 180.00
D3X41, SMD, , SOT323R, -sot323r, 76.84, 46.99, 180.00
D4X11, SMD, , SOT323R, -sot323r, 12.70, 46.99, 180.00
D4X21, SMD, , SOT323R, -sot323r, 33.02, 46.99, 180.00
D4X31, SMD, , SOT323R, -sot323r, 53.34, 46.99, 180.00
D4X41, SMD, , SOT323R, -sot323r, 73.66, 46.99, 180.00
F7X11, SMD, , 0805-RES, -0805-res, 16.89, 42.67, 90.00
F7X21, SMD, , 0805-RES, -0805-res, 37.21, 42.67, 90.00
F7X31, SMD, , 0805-RES, -0805-res, 57.53, 42.67, 90.00
F7X41, SMD, , 0805-RES, -0805-res, 77.85, 42.67, 90.00
FID1, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 95.00, 10.00, 0.00
FID1X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 11.56, 69.85, 270.00
FID1X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 31.88, 69.85, 270.00
FID1X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 52.20, 69.85, 270.00
FID1X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 72.52, 69.85, 270.00
FID2X11, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 28.58, 27.30, 270.00
FID2X21, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 48.90, 27.30, 270.00
FID2X31, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 69.22, 27.30, 270.00
FID2X41, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 89.54, 27.30, 270.00
FID3, SMD, , FIDUCIAL_1MM, -fiducial_1mm, 15.00, 95.00, 0.00
IOBX11, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX21, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX31, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
IOBX41, PTH, , IO4-IOB, -io4-iob, 0.00, 0.00, 270.00
J1X11, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X21, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X31, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
J1X41, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 180.00
LED1X11, SMD, , 0603-LED, -0603-led, 25.40, 27.94, 270.00
LED1X21, SMD, , 0603-LED, -0603-led, 45.72, 27.94, 270.00
LED1X31, SMD, , 0603-LED, -0603-led, 66.04, 27.94, 270.00
LED1X41, SMD, , 0603-LED, -0603-led, 86.36, 27.94, 270.00
LED2X11, SMD, , 0603-LED, -0603-led, 21.59, 27.94, 270.00
LED2X21, SMD, , 0603-LED, -0603-led, 41.91, 27.94, 270.00
LED2X31, SMD, , 0603-LED, -0603-led, 62.23, 27.94, 270.00
LED2X41, SMD, , 0603-LED, -0603-led, 82.55, 27.94, 270.00
LED3X11, SMD, , 0603-LED, -0603-led, 17.78, 27.94, 270.00
LED3X21, SMD, , 0603-LED, -0603-led, 38.10, 27.94, 270.00
LED3X31, SMD, , 0603-LED, -0603-led, 58.42, 27.94, 270.00
LED3X41, SMD, , 0603-LED, -0603-led, 78.74, 27.94, 270.00
LED4X11, SMD, , 0603-LED, -0603-led, 13.97, 27.94, 270.00
LED4X21, SMD, , 0603-LED, -0603-led, 34.29, 27.94, 270.00
LED4X31, SMD, , 0603-LED, -0603-led, 54.61, 27.94, 270.00
LED4X41, SMD, , 0603-LED, -0603-led, 74.93, 27.94, 270.00
Q0X11, SMD, , SOT23, -sot23, 25.40, 32.38, 180.00
Q0X21, SMD, , SOT23, -sot23, 45.72, 32.38, 180.00
Q0X31, SMD, , SOT23, -sot23, 66.04, 32.38, 180.00
Q0X41, SMD, , SOT23, -sot23, 86.36, 32.38, 180.00
