# name, smd?, value, package, component, x, y, angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17INX15CM, board80x150-board-dinrail-3.17inx15cm, 0.00, 0.00, 0.00
C1, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 40.01, 180.00
C2, SMD, 150uF, 0810-CAP, 150uf-0810-cap, 14.61, 48.90, 180.00
C3, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 22.86, 55.24, 225.00
C4, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 17.78, 55.24, 315.00
C5, SMD, 0.1uF, 0805-CAP, 0.1uf-0805-cap, 64.14, 62.23, 0.00
CON3, PTH, , 1X03, -1x03, 0.00, 0.00, 180.00
I2C, PTH, CONNECTOR-I2CLEFT, I2C-L, connector-i2cleft-i2c-l, 0.00, 0.00, 0.00
J1, PTH, , DCJ0202, -dcj0202, 0.00, 0.00, 0.00
J2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 90.00
J3, PTH, , RJ25-TOP, -rj25-top, 0.00, 0.00, 180.00
JP2, PTH, 5v I2C Power, 1X02_LOCK, 5v i2c power-1x02_lock, 0.00, 0.00, 180.00
JP3, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
LABEL1, PTH, 7-12vDC, POWER_USAGE, 7-12vdc-power_usage, 0.00, 0.00, 90.00
LED1, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
LED2, PTH, LEDMATRIX, LEDMATRIX, ledmatrix-ledmatrix, 0.00, 0.00, 0.00
LS1, PTH, , MODULE, -module, 0.00, 0.00, 270.00
LS2, PTH, , MODULE, -module, 0.00, 0.00, 270.00
LS3, PTH, , MODULE, -module, 0.00, 0.00, 270.00
OSHW1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
VR5.0, SMD, 5v, TO-252, 5v-to-252, 20.32, 62.34, 0.00
WEMOS, PTH, D1Mini, WEMOS-D1, d1mini-wemos-d1, 0.00, 0.00, 180.00
