# name, smd?, value, package, component, x, y, angle
J1, PTH, , MA04-1, -ma04-1, 0.00, 0.00, 180.00
J2, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
J3, PTH, RJ12, 520250-3, rj12-520250-3, 0.00, 0.00, 180.00
LED1, PTH, , Q62902-B156, -q62902-b156, 0.00, 0.00, 0.00
Q1, PTH, 2N3904, TO92, 2n3904-to92, 0.00, 0.00, 270.00
R1, PTH, 4k7, 0204/5, 4k7-0204/5, 0.00, 0.00, 90.00
R2, PTH, 27k, 0204/5, 27k-0204/5, 0.00, 0.00, 90.00
R3, PTH, 39k, 0204/5, 39k-0204/5, 0.00, 0.00, 270.00
R4, PTH, 47k, 0204/5, 47k-0204/5, 0.00, 0.00, 270.00
R5, PTH, 150k, 0204/5, 150k-0204/5, 0.00, 0.00, 270.00
R6, PTH, 240k, 0204/5, 240k-0204/5, 0.00, 0.00, 270.00
R7, PTH, 1k, 0204/5, 1k-0204/5, 0.00, 0.00, 90.00
R8, PTH, 470R, 0204/5, 470r-0204/5, 0.00, 0.00, 90.00
R9, PTH, 47R, 0204/5, 47r-0204/5, 0.00, 0.00, 270.00
U1, PTH, LM393N, DIL08, lm393n-dil08, 0.00, 0.00, 270.00
